permitnumber,address,typeofwork,commercialorresidential,occupancytype,approvedscopeofwork,permitissuedate,lng,lat
RP-2022-009275,2722 LATONA ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER (13D) WORK. (NO UNDERPINNING ON THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.",2022-09-28 04:00:00+00,-75.18943375003131,39.93759705047978
RP-2021-013538,2038 MARTHA ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER (13D) WORK. (NO UNDERPINNING ON THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY. RECORDED DEED REQUIRED FOR REAR EASEMENT PRIOR TO CO.**AMEND 3/13/2023- to change special inspector and DCRI- as per special inspections forms. NO OTHER APPROVALS ON THIS AMENDMENT **",2021-12-22 05:00:00+00,-75.13145136032037,39.98054762096567
MP-2024-003052,2053 E WILLIAM ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2024-005021,2025-02-18 05:00:00+00,-75.11751717990632,39.98882700061627
EP-2022-000998,3425 PIETRO WAY,New Construction,Residential,,"Install 400 AMP electrical service with a 4-gang meter. Run 150 AMP feeders to panels in units 3425, 3423, 3421, and 3419 Pietro Way. Wire throughout (1) single family dwelling: switches, lights, receptacles, TV's, phones, and 110vinterconnected smoke/CO alarms .2017 NEC(SERVICE),2014 NEC Single-Family.",2022-02-27 05:00:00+00,-75.18993709976236,39.90846381080273
EP-2020-002493,346 ROSEBERRY ST,New Construction,Residential,,Install a 200 amp service and new wire throughout a new single family dwelling per 2014 NEC.,2020-06-01 04:00:00+00,-75.15384195005394,39.91753302049518
MP-2024-002863,2134 N 7TH ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2024-004994,2025-02-04 05:00:00+00,-75.14582712001769,39.984071240560404
MP-2024-003299,2126 N 7TH ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2024-004991,2024-08-15 04:00:00+00,-75.14585672976511,39.98391852082514
FP-2021-003112,2047 N MARVINE ST,New Construction,Commercial,,"FOR THE INSTALLATION OF AN AUTOMATIC WET SPRINKLER SYSTEM THROUGHOUT A TWO (2) STORY SINGLE-FAMILY DWELLING TO INCLUDE A NEW ONE (1) INCH COMBINED DOMESTIC & FIRE SERVICE LINE. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH NFPA 13D BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA. IF SITE CONDITIONS VARY, CONTACT DESIGN ENGINEER PRIOR TO START OF WORK. SEE RP-2021-007025 FOR ASSOCIATED BUILDING PERMIT.",2021-11-23 05:00:00+00,-75.15191836989239,39.98390334120615
PP-2020-001884,7354 RIDGE AVE,New Construction or Additions,Residential,,"For Interior Plumbing
Rough & Finish Installation of (4)water closets, (4)lavatories, (3)showers/tubs, (1)kitchen sink, (1)laundry sink, and (1) water heater as per 2018 Philadelphia Plumbing Code.",2020-07-13 04:00:00+00,-75.23536253980512,40.047192050533724
PP-2022-015904,1930 REED ST,New Construction or Additions,Residential,,"2 Shower/Tubs
3 Toilets
3 Vanities
1 Kitchen Sink
1 Laundry
1 HWH",2022-11-10 05:00:00+00,-75.17676891012499,39.93393574092089
PP-2021-024479,2546 WEBB ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2021-008759,2022-09-28 04:00:00+00,-75.11794853951456,39.97669231134369
PP-2022-013731,5803 CATHARINE ST,New Construction or Additions,Residential,,"2	Shower/Tubs
2	Toilets
2	Vanities
2	Kitchen Sink
2	HWH
",2022-09-23 04:00:00+00,-75.2392642197281,39.950653950971514
PP-2023-011973,2240 MASTER ST,New Construction or Additions,Commercial,,All sanitary and domestic water piping. All fixtures and piping,2023-09-26 04:00:00+00,-75.17320241962837,39.97618572068991
PP-2021-021848,513 W NORRIS ST,New Construction or Additions,Commercial,,"4 1/2 bath, 3 kitchen, 3 laundry sink, 3 hot water heaters",2022-03-09 05:00:00+00,-75.14276018995618,39.98178793109253
1050530,1319 SCHUYLKILL AVE,New Construction,Commercial,B Business (Office)|R-3 Residential (1 or 2 Dwellings),FOR THE ERECTION OF A THREE (3) STORY STRUCTURE FOR USE A VACANT COMMERCIAL ON THE BASEMENT THROUGH FIRST FLOOR LEVEL WITH A TWO FAMILY DWELLING ON THE SECOND THROUGH THIRD FLOOR LEVEL AS PER APPROVED PLANS.  STRUCTURE HAS A ROOF DECK OVER THE THIRD FLOOR LEVEL ACCESSED BY A ROOF DECK ACCESS STRUCTURE. ALL WORK TO BE DONE PER APPROVED PLANS.  BUILDING IS REQUIRED TO BE FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13.*2018 IBC* IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. **A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 10 FEET OF THE BUILDING FAÇADE IN ACCORDANCE WITH SECTION 3306 OF THE 2018 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT REQUIRED PRIOR TO THE START OF ANY WORK.**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK** ,2020-08-23 04:00:00+00,-75.20316217997272,39.93852556048276
1051739,4301 RIDGE AVE,New Construction,Commercial,,"REPLACE EXISTING LIGHTING WITHNEW; NEW WIRING AND LIGHTING FOR NEW INTERIOR OFFICES. REPLACE EXISTING LIGHTING WITHNEW; NEW WIRING AND LIGHTING FOR NEW INTERIOR OFFICES. ",2020-06-03 04:00:00+00,-75.19683994985081,40.01043843105646
EP-2021-012181,1220 N 2ND ST,New Construction,Residential,,Electrical Permit for combo RP-2021-014303,2023-08-30 04:00:00+00,-75.13958446044742,39.970370531256066
PP-2024-001147,2501-35 E HAGERT ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2023-011701,2025-07-02 04:00:00+00,-75.12215623994686,39.977705180978276
PP-2021-021067,930 S BEULAH ST,New Construction or Additions,Residential,,Installing 17 Fixtures & 1 Washer Machine,2021-11-08 05:00:00+00,-75.15554397979771,39.93727632110539
PP-2021-017796,3951 LANCASTER AVE,New Construction or Additions,Commercial,,"INSTALL 2 INCH WATER SERVICE, 2 CURB TRAP, 2 FAI, 1 BUILDING DRAIN,7 HOT WATER HEATERS, 7 HUD DRAINS, 7 KITCHEN SINKS, 14 LAVATORIES, 
14 SHOWER/TUBS, 14 WATER CLOSETS, 7 WASHING MACHINE BOXES AND 2 EJECTOR SUMP PUMP ACCORDING TO THE 2018 PPC. ",2021-10-07 04:00:00+00,-75.20142354000457,39.96284837081133
PP-2021-015429,523 N 11TH ST,New Construction or Additions,Residential,,"Installing Two 1"" Water Services, 5"" Curb Trap, 4"" Main Drain & 4"" Fresh Air Inlet",2021-08-23 04:00:00+00,-75.1558254596049,39.962212670833196
PP-2020-007362,1253 PALETHORP ST,New Construction or Additions,Residential,,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-08-24 04:00:00+00,-75.13859992961656,39.970756840580464
PP-2021-024340,967 N MARSHALL ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2021-015436,2022-11-18 05:00:00+00,-75.14744122944352,39.96902609112102
PP-2021-024203,957 N MARSHALL ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2021-015464,2022-11-18 05:00:00+00,-75.14749314993794,39.96876850098621
PP-2021-006773,414 POPLAR ST,New Construction or Additions,Residential,,"EZPLUM - EXTERIOR BUILDING DRAINAGE PERMIT - COMPLETE PLUMBING SYSTEM FOR NEW SFD TO INCLUDE BATHS, KITCHEN / LAUNDRY, DWH, NEW WATER AND SEWER SERVICE, CURB TRAP INCL WITH BLDG DRAIN. Plumbing Permit (Exterior Building Drainage) for combo RP-2020-016344.",2022-06-27 04:00:00+00,-75.14462673055927,39.96583319114803
PP-2021-010335,2256 GREENWICH ST,New Construction or Additions,Residential,,FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE-FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEOTECH REPORT. SEPARATE PERMITS REQUIRED FOR SPRINKLER (13D) WORK. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IRC. PRIOR TO ISSUANCE OF C/O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.,2021-12-21 05:00:00+00,-75.18281943011294,39.933037250895694
PP-2022-003720,1435 N 4TH ST,New Construction or Additions,Residential,,"INSTALL 1 HOT WATER HEATER, 1 KITCHEN SINK, 1 BAR SINK, 1 HOSE BIBB, 1 WASHING MACHINE BOX, 1 AREA DRAIN, 5 LAVATORIES, 4 SHOWER/TUBS, 4 WATER CLOSETS ACCORDING TO THE 2018 PPC.",2022-06-14 04:00:00+00,-75.14219775029915,39.97325457091237
MP-2021-007334,2301 PALERMO DR,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2021-013027,2023-02-03 05:00:00+00,-75.19030130037847,39.90797192104739
MP-2023-003057,852 MOYER ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2023-006166,2025-12-20 05:00:00+00,-75.12353871968789,39.973503070775855
FP-2021-003747,2001 BEACH ST,New Construction,Residential,,"FOR THE INSTALLATION OF A FIRE SUPPRESSION SYSTEM IN ACCORDANCE WITH NFPA 2016, STANDARD 13R TO INCLUDE DRY SPINKLER HEADS, SIX (6)-INCH DIAMETER SERVICE LINE AND BACKFLOW PREVENTION ASSEMBLY.",2022-04-18 04:00:00+00,-75.11693210992816,39.971272101012175
FP-2021-000842,2001 BEACH ST,New Construction,Residential,,FOR THE INSTALLATION OF A NFPA 13R FIRE SUPPRESSION SYSTEM FOR A SINGLE FAMILY DWELLING SERVICED BY A TWO INCH FIRE SERVICE LINE WITH A BACK FLOW PREVENTER ASSEMBLY LOCATED IN BUILDING #47. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. FIRE SUPPRESSION SYSTEM TO BE INSTALLED IN ACCORDANCE WITH NFPA 13R STANDARD. ,2021-05-06 04:00:00+00,-75.11693210992816,39.971272101012175
PP-2022-009270,5939 CHANCELLOR ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2022-004166,2022-11-07 05:00:00+00,-75.24071072050853,39.95825511083458
PP-2024-008906,815-23 CATHEDRAL RD,New Construction or Additions,Commercial,,"NEW UNISEX LAVATORY - WC 1, LAV 1, HWH 1, (OTHER-MOP SINK 1)

***************All piping must be metallic. Installed to 2018 PPC section 919************************************",2024-07-08 04:00:00+00,-75.23424901030027,40.063934701340436
PP-2024-006324,6995 PECHIN ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2023-011348,2025-08-12 04:00:00+00,-75.22913728038466,40.0429008809491
PP-2025-000857,723 N SHEDWICK ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2024-013600,2025-01-21 05:00:00+00,-75.19272996038612,39.966762490530876
MP-2022-003453,2600 PENROSE FERRY RD,New Construction,Commercial,,"FOR THE INSTALLATION OF REGISTERS, DIFFUSERS AND APPLIANCES WITH ASSOCIATED DUCTWORK. APPLIANCES TO BE INSTALLED IN ACCORDANCE WITH MANUFACTURER'S SPECIFICATIONS. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK.",2022-07-22 04:00:00+00,-75.19689108956209,39.90370949126812
PP-2020-015291,2014 N DARIEN ST,New Construction or Additions,Residential,,FOR THE ERECTION OF AN ATTACHED STRCUTURE WITH ROOF DECK AND ROOF DECK ACCESS STRUCTURE (TO ENCLOSE STAIRS AND LANDINGS ONLY). DETAILS AS SHOWN ON PLANS. ,2021-10-01 04:00:00+00,-75.1479742099851,39.982531780540754
PP-2023-001674,2451 N HANCOCK ST,New Construction or Additions,Residential,,"Install sewer and water lines from basement to each fixture in the building 5 water closets, 5 lavatories, 5 tub/shower, 
2 kitchen sinks, 2 washer box, 2 water heaters. 1 HB AND 1 SE/SP.
23 TOTAL FIXTURES",2023-03-30 04:00:00+00,-75.13436271032556,39.987842940592934
CP-2025-004136,4115 MONTGOMERY DR,New Construction,Commercial,S-2 Storage (Low Hazard),FOR THE ERECTION OF A PRE-MANUFACTURERED STRUCTURE AND A DECK AS PER APPROVED PLANS.,2025-10-27 04:00:00+00,-75.20746108023089,39.98677822111199
RP-2020-009810,1400 S NAPA ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),Erection of a 4-story single family residence w/ garage and one interior parking space and a pilot house & roof deck. ,2021-01-09 05:00:00+00,-75.19616057053058,39.93647940051006
RP-2020-016310,2338 MASCHER ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE ERECTION OF AN ATTACHED LIGHT-FRAMED STRUCTURE TO INCLUDE EGRESS WINDOW WELL, ROOF DECK, ACCESS PILOT HOUSE, CONTINUOUS SHEATHED WOOD STRUCTURAL PANEL BRACING, AND BATT INSULATION INSTALLATION. (IRC 2015) **SEPARATE PERMITS TO BE REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING, AND FIRE SUPPRESSION SYSTEM INSTALLATIONS.**",2021-03-22 04:00:00+00,-75.13418465011682,39.986032790992176
1043275,2649 COLLINS ST,New Construction,Residential,,"INSTALL NEW FIRE SUPPRESSION SYSTEM AND 1"" COMBINED SERVICE IN ACCORDANCE WITH NFPA 13D THROUGHOUT THE ENTIRE BUILDING. ALL WORK SHALL COMPLY WITH THE APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.",2020-02-07 19:15:00+00,-75.12220173972693,39.98516838101722
FP-2025-001362,3601-07 N BROAD ST,New Construction,Commercial,,FOR INSTALLATION OF SPRINKLER SYSTEM PER NFPA 13 WITH 6-INCH FIRE SERVICE LINE AND BFP DEVICE. FIRE PUMP TO BE INSTALLED PER NFPA 20.,2025-10-27 04:00:00+00,-75.15110803037874,40.007771181367275
FP-2020-002291,2127 E DAKOTA ST,New Construction,Residential,,INSTALLATION OF AN AUTOMATIC FIRE SUPPRESSION SYSTEM IN ACCORDANCE WITH NFPA 13D THROUGHOUT NEW THREE STORY BUILDING TO INCLUDE NEW 1-INCH COMBINED LINE AS PER APPROVED PLAN.,2020-12-14 05:00:00+00,-75.1287131398372,39.98153200091503
FP-2025-000769,2602 WHARTON ST,New Construction,Residential,,"FOR THE INSTALLATION OF A FIRE SUPPRESSION SYSTEM IN ACCORDANCE WITN NFPA 13D, WITH A ONE-INCH COMBINED FIRE SERVICE LINE, AS PER APPROVED PLANS.  ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.",2025-05-21 04:00:00+00,-75.18751883973097,39.93655999133325
PP-2024-011426,2623 SEARS ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2024-007930,2024-11-21 05:00:00+00,-75.188075539782,39.9364574405892
PP-2022-013199,54 E PASTORIUS ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2022-007998,2023-02-23 05:00:00+00,-75.17817785943942,40.0426730913536
PP-2020-003522,618 DUDLEY ST,New Construction or Additions,Residential,,"For Interior/Exterior Plumbing of a Existing Single Family Dwelling to include CURB TRAP, FRESH AIR INLET, HOUSE DRAIN, 1"" WATER SERVICE, (3) Tubs, (3) toilets, (3) Lavs, (1) Washer, (1) Kitchen Sink, and (1) Water Heater as per 2018 Philadelphia Plumbing Code.",2020-06-15 04:00:00+00,-75.15704648943594,39.924301000845865
PP-2021-020424,2643 TITAN ST,New Construction or Additions,Commercial,,"Water Distribution, inlet, curb trap, house drain
Kitchen, laundry, hot water heater
water closet, lavs, showers
",2021-11-15 05:00:00+00,-75.18828741997321,39.937311751276376
PP-2024-016528,2117 N 15TH ST,New Construction or Additions,Commercial,,"Install 1"" domestic ,6""storm and curb trap complete with fresh air and main house drains.
Install (5) lavatories, (5) water closets, (4) tub/shower, (3)laundry sink, (3) kitchen sink, (3)hot water heater, (1) hose bibs. 
",2025-02-24 05:00:00+00,-75.15790151029334,39.98538721116748
PP-2020-014821,662 N 15TH ST,New Construction or Additions,Commercial,,"(7) Tubs, (6) toilets, (9) Lavs, (4) Washer, (4) Kitchen Sink.",2020-12-15 05:00:00+00,-75.16252931006746,39.96633165087172
MP-2020-004749,37 E CLAPIER ST,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation if New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans. 1st & basement: 1/2 ton condensor, 40,000 btu of heat, 90% heater, all duct work.
2nd floor: 1/2 ton condensor, 40,000 btu of heat, 90% heater, all duct work.
3rd floor: 1/2 ton condensor, 40,000 btu of heat, 90% heater, all duct work.
4th floor: 1/2 ton condensor, 40,000 btu of heat, 90% heater, all duct work. ",2020-10-14 04:00:00+00,-75.16253090050039,40.029941301054386
EP-2022-002250,1600-28 S CHRISTOPHER COLUMBUS BLVD,New Construction,Commercial,,Electrical Permit for combo SP-2022-000038,2022-05-03 04:00:00+00,-75.14568803023437,39.926868500777466
1049454,2041 E LEHIGH AVE,New Construction or Additions,Commercial,,INSTALL 13 FIXTURES AS PER 2004 PPC,2020-02-13 14:02:45+00,-75.12122023033001,39.98644159058894
MP-2021-008208,4117 WESTMINSTER AVE,New Construction,Commercial,,"MULTI FAMILY
EACH HVAC UNIT TO BE SELF-CONTAINED WITHIN EACH DWELLING UNIT. NO PENETRATIONS OF RATED ASSEMBLIES.
EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES
For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 
Four unit quadplex two and a half ton evaporator coil 95% furnace ductwork throughout each apartment condensers located total of four HVAC units",2021-12-25 05:00:00+00,-75.20643019022364,39.970447250888384
MP-2021-008613,962 WENDLE CT,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2021-015467,2024-02-05 05:00:00+00,-75.14724680036207,39.96889988096149
MP-2023-002354,1833 HOPE ST,New Construction,Commercial,,"FOR THE INSTALLATION OF A NEW HVAC SYSTEM INCLUDING HEAT PUMPS, AIR CONDITIONER UNITS, REGISTERS AND DIFFUSERS WITH ASSOCIATED DUCTWORK AS PER PLANS. ",2023-06-15 04:00:00+00,-75.13396737031002,39.978029941139646
MP-2022-000616,7048 GERMANTOWN AVE,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES
For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 
INSTALLATION OF (2) 95% 60,000 BTU GAS FURNACE WITH 2.5 TON 13 SEER AC AND ALL REQUIRED DUCT WORK. ",2022-01-28 05:00:00+00,-75.18952620972796,40.057536390834436
1036376,3828 BARING ST,New Construction,Commercial,,INSTALLATION OF (4) HEAT PUMP SYSTEM WITH ALL REQUIRED DUCT WORK AS PER PLANS,2020-01-24 14:02:00+00,-75.19822600028863,39.96046239066727
MP-2020-005360,725 LATONA ST,New Construction,Residential,,"For the installation of mechanical work as per EZ Permit Standard. Any 
deviations from this permit standard will result in permit revocation.",2020-11-17 05:00:00+00,-75.15672106993517,39.93339588058213
MP-2020-003765,720 MANTON ST,New Construction,Residential,,"FOR THE ERECTION OF A FOUR (4) STORY ATTACHED SINGLE FAMILY DWELLING STRUCTURE OF TYPE VB CONSTRUCTION WITH LAYOUT AS PER PLANS. SEPARATE PERMITS REQUIRED FOR ALL MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION WORK.

HVAC INSTALLATION IN ACCORDANCE WITH EZ PERMIT STANDARD.",2021-01-14 05:00:00+00,-75.15669012035428,39.93351880049735
EP-2025-002442,207 VINE ST,New Construction,Residential,,"Install 400A service w/ two(2) MCB 200A service panels, with all interior wiring for two family dwelling. Install 110v interconnected smoke alarms . ALL WORK IS TO BE DONE ACCORDING TO APPROVED DRAWINGS-2017 NEC.",2025-05-14 04:00:00+00,-75.14298883968553,39.95583638077437
MP-2024-004822,2342 MOORE ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2024-009092,2025-01-09 05:00:00+00,-75.18490443976641,39.92996276101918
MP-2021-008750,1736-64 MASCHER ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2021-018059,2026-01-07 05:00:00+00,-75.13619123036759,39.97699082123106
